PartitionKey,RowKey,Gemeente,Provincie,Postcode
1000,Amsterdam,Amsterdam,Noord Holland,1000
1000,Amsterdam,Amsterdam,Noord Holland,1000
1001,Amsterdam,Amsterdam,Noord Holland,1001
1002,Amsterdam,Amsterdam,Noord Holland,1002
1003,Amsterdam,Amsterdam,Noord Holland,1003
1005,Amsterdam,Amsterdam,Noord Holland,1005
1006,Amsterdam,Amsterdam,Noord Holland,1006
1007,Amsterdam,Amsterdam,Noord Holland,1007
1008,Amsterdam,Amsterdam,Noord Holland,1008
1009,Amsterdam,Amsterdam,Noord Holland,1009
1011,Amsterdam,Amsterdam,Noord Holland,1011
1012,Amsterdam,Amsterdam,Noord Holland,1012
1013,Amsterdam,Amsterdam,Noord Holland,1013
1014,Amsterdam,Amsterdam,Noord Holland,1014
1015,Amsterdam,Amsterdam,Noord Holland,1015
1016,Amsterdam,Amsterdam,Noord Holland,1016
1017,Amsterdam,Amsterdam,Noord Holland,1017
1018,Amsterdam,Amsterdam,Noord Holland,1018
1019,Amsterdam,Amsterdam,Noord Holland,1019
1020,Amsterdam,Amsterdam,Noord Holland,1020
1021,Amsterdam,Amsterdam,Noord Holland,1021
1022,Amsterdam,Amsterdam,Noord Holland,1022
1023,Amsterdam,Amsterdam,Noord Holland,1023
1024,Amsterdam,Amsterdam,Noord Holland,1024
1025,Amsterdam,Amsterdam,Noord Holland,1025
1026,Amsterdam,Amsterdam,Noord Holland,1026
1027,Amsterdam,Amsterdam,Noord Holland,1027
1028,Amsterdam,Amsterdam,Noord Holland,1028
1030,Amsterdam,Amsterdam,Noord Holland,1030
1031,Amsterdam,Amsterdam,Noord Holland,1031
1032,Amsterdam,Amsterdam,Noord Holland,1032
1033,Amsterdam,Amsterdam,Noord Holland,1033
1034,Amsterdam,Amsterdam,Noord Holland,1034
1035,Amsterdam,Amsterdam,Noord Holland,1035
1036,Amsterdam,Amsterdam,Noord Holland,1036
1037,Amsterdam,Amsterdam,Noord Holland,1037
1040,Amsterdam,Amsterdam,Noord Holland,1040
1041,Amsterdam,Amsterdam,Noord Holland,1041
1042,Amsterdam,Amsterdam,Noord Holland,1042
1043,Amsterdam,Amsterdam,Noord Holland,1043
1044,Amsterdam,Amsterdam,Noord Holland,1044
1045,Amsterdam,Amsterdam,Noord Holland,1045
1046,Amsterdam,Amsterdam,Noord Holland,1046
1047,Amsterdam,Amsterdam,Noord Holland,1047
1051,Amsterdam,Amsterdam,Noord Holland,1051
1052,Amsterdam,Amsterdam,Noord Holland,1052
1053,Amsterdam,Amsterdam,Noord Holland,1053
1054,Amsterdam,Amsterdam,Noord Holland,1054
1055,Amsterdam,Amsterdam,Noord Holland,1055
1056,Amsterdam,Amsterdam,Noord Holland,1056
1057,Amsterdam,Amsterdam,Noord Holland,1057
1058,Amsterdam,Amsterdam,Noord Holland,1058
1059,Amsterdam,Amsterdam,Noord Holland,1059
1060,Amsterdam,Amsterdam,Noord Holland,1060
1061,Amsterdam,Amsterdam,Noord Holland,1061
1062,Amsterdam,Amsterdam,Noord Holland,1062
1063,Amsterdam,Amsterdam,Noord Holland,1063
1064,Amsterdam,Amsterdam,Noord Holland,1064
1065,Amsterdam,Amsterdam,Noord Holland,1065
1066,Amsterdam,Amsterdam,Noord Holland,1066
1067,Amsterdam,Amsterdam,Noord Holland,1067
1068,Amsterdam,Amsterdam,Noord Holland,1068
1069,Amsterdam,Amsterdam,Noord Holland,1069
1070,Amsterdam,Amsterdam,Noord Holland,1070
1071,Amsterdam,Amsterdam,Noord Holland,1071
1072,Amsterdam,Amsterdam,Noord Holland,1072
1073,Amsterdam,Amsterdam,Noord Holland,1073
1074,Amsterdam,Amsterdam,Noord Holland,1074
1075,Amsterdam,Amsterdam,Noord Holland,1075
1076,Amsterdam,Amsterdam,Noord Holland,1076
1077,Amsterdam,Amsterdam,Noord Holland,1077
1078,Amsterdam,Amsterdam,Noord Holland,1078
1079,Amsterdam,Amsterdam,Noord Holland,1079
1080,Amsterdam,Amsterdam,Noord Holland,1080
1081,Amsterdam,Amsterdam,Noord Holland,1081
1082,Amsterdam,Amsterdam,Noord Holland,1082
1083,Amsterdam,Amsterdam,Noord Holland,1083
1086,Amsterdam,Amsterdam,Noord Holland,1086
1087,Amsterdam,Amsterdam,Noord Holland,1087
1090,Amsterdam,Amsterdam,Noord Holland,1090
1091,Amsterdam,Amsterdam,Noord Holland,1091
1092,Amsterdam,Amsterdam,Noord Holland,1092
1093,Amsterdam,Amsterdam,Noord Holland,1093
1094,Amsterdam,Amsterdam,Noord Holland,1094
1095,Amsterdam,Amsterdam,Noord Holland,1095
1096,Amsterdam,Amsterdam,Noord Holland,1096
1097,Amsterdam,Amsterdam,Noord Holland,1097
1098,Amsterdam,Amsterdam,Noord Holland,1098
1099,Amsterdam,Amsterdam,Noord Holland,1099
1100,Amsterdam Zuidoost,Amsterdam,Noord Holland,1100
1101,Amsterdam Zuidoost,Amsterdam,Noord Holland,1101
1102,Amsterdam Zuidoost,Amsterdam,Noord Holland,1102
1103,Amsterdam Zuidoost,Amsterdam,Noord Holland,1103
1104,Amsterdam Zuidoost,Amsterdam,Noord Holland,1104
1105,Amsterdam Zuidoost,Amsterdam,Noord Holland,1105
1106,Amsterdam Zuidoost,Amsterdam,Noord Holland,1106
1107,Amsterdam Zuidoost,Amsterdam,Noord Holland,1107
1108,Amsterdam Zuidoost,Amsterdam,Noord Holland,1108
1109,Amsterdam Zuidoost,Amsterdam,Noord Holland,1109
1110,Diemen,Diemen,Noord Holland,1110
1111,Diemen,Diemen,Noord Holland,1111
1112,Diemen,Diemen,Noord Holland,1112
1113,Diemen,Diemen,Noord Holland,1113
1115,Duivendrecht,Ouder Amstel,Noord Holland,1115
1117,Schiphol,Haarlemmermeer,Noord Holland,1117
1118,Luchthaven Schiphol,Haarlemmermeer,Noord Holland,1118
1119,Schiphol Rijk,Haarlemmermeer,Noord Holland,1119
1120,Landsmeer,Landsmeer,Noord Holland,1120
1121,Landsmeer,Landsmeer,Noord Holland,1121
1127,Den Ilp,Landsmeer,Noord Holland,1127
1130,Volendam,Edam Volendam,Noord Holland,1130
1131,Volendam,Edam Volendam,Noord Holland,1131
1132,Volendam,Edam Volendam,Noord Holland,1132
1135,Edam,Edam Volendam,Noord Holland,1135
1140,Monnickendam,Waterland,Noord Holland,1140
1141,Monnickendam,Waterland,Noord Holland,1141
1145,Katwoude,Waterland,Noord Holland,1145
1150,Broek in Waterland,Waterland,Noord Holland,1150
1151,Broek in Waterland,Waterland,Noord Holland,1151
1153,Zuiderwoude,Waterland,Noord Holland,1153
1154,Uitdam,Waterland,Noord Holland,1154
1156,Marken,Waterland,Noord Holland,1156
1160,Zwanenburg,Haarlemmermeer,Noord Holland,1160
1161,Zwanenburg,Haarlemmermeer,Noord Holland,1161
1165,Halfweg (NH),Haarlemmerliede en Spaarnwoude,Noord Holland,1165
1170,Badhoevedorp,Haarlemmermeer,Noord Holland,1170
1171,Badhoevedorp,Haarlemmermeer,Noord Holland,1171
1175,Lijnden,Haarlemmermeer,Noord Holland,1175
1180,Amstelveen,Amstelveen,Noord Holland,1180
1181,Amstelveen,Amstelveen,Noord Holland,1181
1182,Amstelveen,Amstelveen,Noord Holland,1182
1183,Amstelveen,Amstelveen,Noord Holland,1183
1184,Amstelveen,Amstelveen,Noord Holland,1184
